iter	Passed	Remaining
759	18441	970
760	18468	946
761	18487	921
762	18506	897
763	18526	872
764	18545	848
765	18564	824
766	18583	799
767	18602	775
768	18621	750
769	18641	726
770	18660	701
771	18680	677
772	18700	653
773	18719	628
774	18738	604
775	18758	580
776	18777	555
777	18796	531
778	18816	507
779	18835	482
780	18853	458
781	18872	434
782	18891	410
783	18911	385
784	18930	361
785	18949	337
786	18968	313
787	18987	289
788	19006	264
789	19026	240
790	19044	216
791	19063	192
792	19083	168
793	19102	144
794	19122	120
795	19141	96
796	19159	72
797	19178	48
798	19197	24
799	19216	0
